Primary Key,Start,End,Length of Placement - Days,Distance,Inside or Outside District,Placement Provision,Placement Type,Change Reason
2270,15/04/2024,07/03/2025,612,11,IN,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
5,05/09/2023,13/09/2023,835,12,OUT,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
260,04/04/2023,04/10/2023,989,12,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
529,27/07/2023,13/02/2025,875,12,IN,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1240,28/11/2024,16/10/2025,385,12,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1591,23/04/2024,07/07/2025,604,12,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1631,28/11/2024,25/10/2025,385,12,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1939,06/04/2023,09/10/2023,987,12,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
2073,17/08/2023,11/06/2024,854,12,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
249,11/03/2025,28/03/2025,282,13,IN,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
1816,23/04/2024,07/07/2025,604,13,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
60,03/04/2024,24/04/2025,624,15,IN,PR5 - Voluntary/Third Sector Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
62,24/04/2025,16/05/2025,238,15,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
97,06/12/2024,24/09/2025,377,15,OUT,PR3 - Other public provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
98,02/09/2024,06/12/2024,472,15,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
320,15/04/2024,13/11/2024,612,15,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
394,03/01/2025,03/06/2025,349,15,OUT,PR3 - Other public provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
395,03/06/2025,13/10/2025,198,15,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
571,28/05/2024,30/08/2025,569,15,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
586,28/07/2024,01/08/2024,508,15,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
649,21/06/2023,18/10/2023,911,15,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
650,18/10/2023,19/09/2024,792,15,OUT,PR3 - Other public provision,Young Offenders Institution/Prison,Change to/Implementation of Care Plan
1049,24/06/2025,05/09/2025,177,15,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
1273,17/04/2023,06/11/2023,976,15,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
1364,12/05/2023,14/02/2025,951,15,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1671,31/03/2024,09/10/2024,627,15,OUT,PR2 - Other LA provision,Kinship - short term,Change to/Implementation of Care Plan
1672,31/03/2024,09/10/2024,627,15,OUT,PR2 - Other LA provision,Kinship - short term,Change to/Implementation of Care Plan
2407,15/04/2024,10/02/2025,612,15,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
2608,24/03/2025,26/03/2025,269,15,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1805,13/11/2023,23/04/2024,766,16,OUT,PR1 - Own provision by LA,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1691,02/04/2024,13/06/2024,625,17,OUT,PR2 - Other LA provision,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
1862,22/09/2023,12/01/2024,818,17,OUT,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1914,02/04/2024,13/06/2024,625,17,OUT,PR2 - Other LA provision,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
2599,09/12/2024,31/03/2025,374,17,OUT,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
2558,05/03/2025,05/09/2025,288,19,OUT,PR5 - Voluntary/Third Sector Provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
2003,22/09/2023,29/11/2023,818,20,OUT,PR1 - Own provision by LA,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
2544,06/12/2024,05/10/2025,377,20,OUT,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
70,25/08/2023,23/05/2025,846,21,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
484,19/10/2023,11/02/2025,791,21,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1998,14/04/2023,31/03/2025,979,21,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1844,02/10/2023,01/03/2024,808,24,OUT,PR2 - Other LA provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
105,18/08/2023,11/03/2025,853,25,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
327,05/09/2024,21/10/2024,469,25,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
2477,24/01/2025,28/02/2025,328,25,OUT,PR4 - Private Provision,Mother And Baby Unit,Change to/Implementation of Care Plan
855,28/02/2024,08/08/2024,659,29,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1099,28/02/2024,08/08/2024,659,29,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1539,28/02/2024,08/07/2024,659,29,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1766,09/08/2024,10/08/2024,496,29,OUT,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1854,28/02/2024,08/07/2024,659,29,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
809,29/03/2024,17/02/2025,629,30,IN,PR1 - Own provision by LA,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1312,09/11/2023,30/03/2024,770,30,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
1314,18/08/2023,09/11/2023,853,30,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
1833,14/04/2023,28/07/2023,979,30,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
2395,09/07/2024,27/01/2025,527,30,OUT,PR4 - Private Provision,Mother And Baby Unit,Change to/Implementation of Care Plan
2514,12/12/2025,12/12/2025,6,32,OUT,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
2494,29/11/2024,23/05/2025,384,33,OUT,PR2 - Other LA provision,Mother And Baby Unit,Change to/Implementation of Care Plan
2098,16/09/2024,24/04/2025,458,35,OUT,PR2 - Other LA provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
587,01/08/2024,02/08/2024,504,38,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
2169,08/08/2023,23/10/2024,863,38,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
24,20/07/2023,09/10/2023,882,40,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
264,08/09/2023,09/07/2024,832,40,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1709,26/05/2023,29/09/2023,937,40,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1710,29/09/2023,22/01/2024,811,40,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1831,09/11/2023,18/01/2024,770,40,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
2155,05/04/2024,06/11/2024,622,40,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
392,29/11/2024,28/01/2025,384,42,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
31,06/09/2023,14/06/2024,834,45,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
73,04/07/2024,01/06/2025,532,45,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
509,17/04/2023,28/02/2024,976,45,OUT,PR4 - Private Provision,Mother And Baby Unit,Change to/Implementation of Care Plan
516,19/09/2025,17/10/2025,90,45,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
823,19/09/2025,17/10/2025,90,45,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1190,19/09/2025,17/10/2025,90,45,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1756,19/09/2025,17/10/2025,90,45,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
2050,21/08/2023,24/10/2023,850,45,OUT,PR4 - Private Provision,Mother And Baby Unit,Change to/Implementation of Care Plan
564,22/07/2024,24/08/2024,514,47.8,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
96,24/02/2025,05/04/2025,297,50,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
508,28/02/2024,25/04/2024,659,50,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
999,31/07/2023,27/10/2025,871,50,IN,PR1 - Own provision by LA,Fostering – long term,Change to/Implementation of Care Plan
1291,31/07/2023,27/10/2025,871,50,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1689,28/02/2024,23/09/2024,659,50,OUT,PR4 - Private Provision,Placed with Parents,Change to/Implementation of Care Plan
2516,18/10/2024,19/03/2025,426,50,OUT,PR2 - Other LA provision,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
830,10/03/2025,11/03/2025,283,55,OUT,PR4 - Private Provision,Fostering – long term,Change to/Implementation of Care Plan
831,07/05/2024,10/03/2025,590,55,OUT,PR4 - Private Provision,Fostering – long term,Change to/Implementation of Care Plan
1315,08/08/2024,02/09/2025,497,55,OUT,PR2 - Other LA provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
2091,26/05/2023,30/06/2023,937,55,OUT,PR4 - Private Provision,Mother And Baby Unit,Change to/Implementation of Care Plan
491,28/06/2024,20/12/2024,538,60,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
945,14/11/2023,21/11/2023,765,60,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1683,20/09/2024,02/04/2025,454,60,OUT,PR2 - Other LA provision,Young Offenders Institution/Prison,Change to/Implementation of Care Plan
481,02/06/2023,22/06/2023,930,62,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
1780,30/12/2024,04/12/2025,353,64,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
263,27/08/2024,25/09/2025,478,70,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
390,04/08/2025,21/11/2025,136,70,OUT,PR4 - Private Provision,Unregistered - in child's best interest,Change to/Implementation of Care Plan
621,15/11/2023,13/03/2024,764,70,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1073,22/03/2024,15/04/2024,636,70,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
591,18/08/2023,05/03/2024,853,72,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
626,06/11/2024,05/04/2025,407,72,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
949,18/08/2023,01/12/2023,853,72,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
995,18/08/2023,05/03/2024,853,72,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1658,18/08/2023,05/03/2024,853,72,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
607,09/12/2024,08/04/2025,374,73,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
2046,30/06/2023,26/06/2024,902,74.1,OUT,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
656,21/03/2024,05/09/2024,637,75,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1742,31/07/2023,11/04/2024,871,75,OUT,PR2 - Other LA provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1997,18/05/2023,13/11/2023,945,75,OUT,PR1 - Own provision by LA,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
762,28/07/2023,22/08/2023,874,77,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
386,17/05/2025,21/07/2025,215,81,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
272,01/03/2024,08/03/2024,657,85,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
757,28/11/2024,16/04/2025,385,86.4,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
883,12/04/2024,26/07/2024,615,89.6,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
388,16/10/2023,26/04/2024,794,90,OUT,PR4 - Private Provision,Residential School,Change to/Implementation of Care Plan
1610,11/07/2025,08/12/2025,160,95,OUT,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
563,24/12/2024,18/06/2025,359,100,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
573,28/03/2024,28/05/2024,630,120,OUT,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
575,28/05/2024,16/07/2024,569,120,IN,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
627,17/06/2024,06/11/2024,549,123.8,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1501,06/04/2023,20/06/2023,987,130,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1607,17/09/2023,20/09/2024,823,130,OUT,PR5 - Voluntary/Third Sector Provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1646,17/09/2023,20/09/2024,823,130,OUT,PR5 - Voluntary/Third Sector Provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1827,24/08/2023,25/01/2024,847,130,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
981,25/06/2024,29/11/2024,541,145,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1867,20/07/2024,29/01/2025,516,163,OUT,PR1 - Own provision by LA,Placed for Adoption (with consent) with former foster carers,Change to/Implementation of Care Plan
1799,22/01/2024,15/02/2024,696,180,IN,PR4 - Private Provision,Supported Lodgings Short Term,Change to/Implementation of Care Plan
1829,25/01/2024,27/06/2024,693,185,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
303,29/07/2024,18/02/2025,507,187,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
2095,14/04/2025,19/05/2025,248,200,OUT,PR1 - Own provision by LA,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
2399,14/04/2025,19/05/2025,248,200,OUT,PR1 - Own provision by LA,"EPP: Fostering for Adoption, placed with approved adopter",Change to/Implementation of Care Plan
2642,23/07/2025,22/10/2025,148,213,OUT,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
129,25/01/2024,18/06/2024,693,219,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
458,12/06/2025,25/09/2025,189,250,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
1509,24/03/2025,11/07/2025,269,250,OUT,PR2 - Other LA provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1665,14/04/2023,21/12/2023,979,300,OUT,PR5 - Voluntary/Third Sector Provision,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1882,26/05/2023,20/11/2023,937,300,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
2184,07/09/2023,23/01/2024,833,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
4,04/04/2023,12/08/2023,989,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
16,28/09/2023,17/04/2024,812,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
47,14/04/2023,07/10/2023,979,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
71,23/05/2025,25/05/2025,209,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
85,05/05/2024,04/11/2024,592,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
100,21/09/2023,10/05/2024,819,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
116,03/10/2024,25/10/2024,441,,IN,PR1 - Own provision by LA,Unregistered Placement,Change to/Implementation of Care Plan
117,25/10/2024,23/11/2025,419,,IN,PR5 - Voluntary/Third Sector Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
119,01/10/2024,30/05/2025,443,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
123,02/12/2024,20/09/2025,381,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
158,16/05/2025,22/08/2025,216,,OUT,PR3 - Other public provision,Young Offenders Institution/Prison,Change to/Implementation of Care Plan
192,18/12/2024,08/01/2025,365,,OUT,PR3 - Other public provision,Young Offenders Institution/Prison,Change to/Implementation of Care Plan
194,16/12/2024,18/12/2024,367,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
195,08/01/2025,10/02/2025,344,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
250,03/05/2023,25/07/2023,960,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
261,03/04/2025,18/07/2025,259,,IN,PR4 - Private Provision,Unregistered - awaiting alternative,Change to/Implementation of Care Plan
262,11/11/2024,03/04/2025,402,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
297,08/08/2023,08/05/2024,863,,IN,PR1 - Own provision by LA,Fostering – long term,Change to/Implementation of Care Plan
304,25/07/2024,29/07/2024,511,,OUT,PR3 - Other public provision,Young Offenders Institution/Prison,Change to/Implementation of Care Plan
374,21/01/2025,23/01/2025,331,,IN,PR1 - Own provision by LA,Unregistered Placement,Change to/Implementation of Care Plan
376,13/02/2025,11/08/2025,308,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
377,04/09/2024,20/12/2024,470,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
389,26/04/2024,29/11/2024,601,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
403,07/11/2024,18/04/2025,406,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
405,14/08/2025,22/09/2025,126,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
407,06/11/2024,07/11/2024,407,,IN,PR1 - Own provision by LA,Unregistered Placement,Change to/Implementation of Care Plan
416,16/09/2024,08/01/2025,458,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
425,20/12/2023,29/05/2024,729,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
426,20/12/2023,29/05/2024,729,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
427,20/12/2023,20/12/2023,729,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
432,20/07/2023,01/09/2025,882,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
437,20/07/2023,23/05/2024,882,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
513,19/10/2023,21/10/2024,791,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
518,22/05/2024,01/12/2024,575,,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
519,03/05/2024,22/05/2024,594,,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
532,22/03/2024,16/07/2024,636,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
536,02/09/2023,06/04/2025,838,,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Change to/Implementation of Care Plan
582,11/12/2024,30/10/2025,372,,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
597,04/10/2023,24/11/2023,806,,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
599,18/03/2024,23/05/2024,640,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
616,15/11/2023,14/03/2024,764,,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
617,15/11/2023,13/03/2024,764,,OUT,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
662,11/04/2023,05/02/2024,982,,OUT,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
666,08/04/2025,02/05/2025,254,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
670,25/03/2025,11/04/2025,268,,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Change to/Implementation of Care Plan
692,20/10/2023,16/02/2024,790,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
699,21/08/2023,04/01/2024,850,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
705,19/10/2023,21/10/2024,791,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
727,24/07/2023,24/06/2024,878,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
735,09/06/2024,19/09/2024,557,,IN,PR1 - Own provision by LA,Fostering – long term,Change to/Implementation of Care Plan
785,24/07/2023,16/11/2023,878,,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
796,22/10/2023,04/02/2025,788,,IN,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
813,03/08/2023,04/11/2024,868,,OUT,PR4 - Private Provision,Unregistered Placement,Change to/Implementation of Care Plan
840,24/07/2024,30/09/2024,512,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
868,21/08/2023,05/12/2023,850,,IN,PR1 - Own provision by LA,Supported Lodgings Short Term,Change to/Implementation of Care Plan
875,23/07/2025,14/08/2025,148,,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
935,13/08/2024,06/05/2025,492,,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
937,22/03/2024,15/07/2024,636,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
955,24/07/2023,16/11/2023,878,,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
957,04/10/2023,24/11/2023,806,,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
960,18/03/2024,23/05/2024,640,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
985,19/04/2024,23/07/2024,608,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1011,17/07/2024,27/04/2025,519,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1020,22/09/2023,21/11/2023,818,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1090,11/03/2024,15/10/2024,647,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1117,20/12/2024,27/11/2025,363,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1121,27/04/2023,18/05/2023,966,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1125,03/02/2024,29/05/2024,684,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1126,22/12/2023,23/12/2023,727,,IN,PR4 - Private Provision,Fostering – short term,Change to/Implementation of Care Plan
1132,21/08/2023,04/01/2024,850,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1239,09/05/2023,04/09/2023,954,,IN,PR5 - Voluntary/Third Sector Provision,Placed for Adoption (with consent) with former foster carers,Change to/Implementation of Care Plan
1246,11/03/2024,15/10/2024,647,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1271,10/04/2024,20/11/2024,617,,OUT,PR1 - Own provision by LA,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1277,02/05/2025,02/07/2025,230,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1278,08/04/2025,02/05/2025,254,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1288,04/03/2024,03/12/2024,654,,OUT,PR1 - Own provision by LA,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1300,08/11/2024,29/12/2024,405,,IN,PR4 - Private Provision,Semi-independent supported accommodation,Change to/Implementation of Care Plan
1309,24/10/2024,15/11/2024,420,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1322,22/07/2023,08/07/2025,880,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1325,22/07/2023,07/07/2025,880,,IN,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1336,10/01/2024,19/03/2024,708,,OUT,PR1 - Own provision by LA,Fostering – short term,Change to/Implementation of Care Plan
1375,29/11/2023,30/11/2023,750,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1380,16/06/2023,22/01/2024,916,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1384,24/06/2024,08/08/2024,542,,OUT,PR1 - Own provision by LA,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1387,22/03/2024,15/07/2024,636,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1389,07/04/2023,15/12/2023,986,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1392,25/05/2024,27/08/2025,572,,OUT,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
1410,27/05/2025,13/06/2025,205,,IN,PR1 - Own provision by LA,Kinship - short term,Change to/Implementation of Care Plan
1413,04/03/2024,03/12/2024,654,,OUT,PR1 - Own provision by LA,Placed for Adoption (with consent) not with former foster carers,Change to/Implementation of Care Plan
1416,20/03/2024,21/10/2025,638,,IN,PR0 - Parents or other person with parental responsibility,Placed with Parents,Change to/Implementation of Care Plan
